af	Afrikaans
am	Amharique
ar	Arabe
as	Assamais
az	Azerbaïdjanais
be	Biélorusse
bg	Bulgare
bn	Bengali
bo	Tibétain
bs	Bosniaque
ca	Catalan
ccp	Chakma
ceb	Cebuano
chr	Cherokee
ckb	Sorani
co	Corse
crk	Crk
cs	Tchèque
cy	Gallois
da	Danois
de	Allemand
dz	Dzongkha
el	Grec
en	Anglais
eo	Espéranto
es	Espagnol
et	Estonien
eu	Basque
fa	Persan
ff	Peul
fi	Finnois
fil	Filipino
fr	Français
fy	Frison occidental
ga	Irlandais
gd	Gaélique écossais
gl	Galicien
gu	Goudjarati
haw	Hawaïen
he	Hébreu
hi	Hindi
hmn	Hmong
hr	Croate
ht	Créole haïtien
hu	Hongrois
hy	Arménien
id	Indonésien
is	Islandais
it	Italien
iu	Inuktitut
ja	Japonais
jv	Javanais
jw	Javanais
ka	Géorgien
kk	Kazakh
km	Khmer
kn	Kannada
ko	Coréen
ku	Kurde
ky	Kirghize
la	Latin
lb	Luxembourgeois
lis	Lis
lo	Lao
lt	Lituanien
lv	Letton
mez	Mez
mg	Malgache
mi	Maori
mk	Macédonien
ml	Malayalam
mni-Mtei	Manipuri (meitei mayek)
mn	Mongol
mr	Marathi
ms	Malais
mt	Maltais
my	Birman
nb	Norvégien
ne	Népalais
nl	Néerlandais
nn	Norvégien nynorsk
no	Norvégien
nv	Navajo
ny	Chewa
oj	Ojibwa
one	One
or	Odia
osa	Osage
pa	Pendjabi
pl	Polonais
ps	Pachto
pt-BR	Portugais (Brésil)
pt-PT	Portugais (Portugal)
rhg	Rhg
rom	Romani
ro	Roumain
ru	Russe
sa	Sanskrit
sd	Sindhi
see	Seneca
si	Cingalais
sk	Slovaque
sl	Slovène
sm	Samoan
sn	Shona
so	Somali
sq	Albanais
sr	Serbe
su	Soundanais
sv	Suédois
sw	Swahili
ta	Tamoul
te	Télougou
tg	Tadjik
th	Thaï
ti	Tigrigna
tl	Filipino
tr	Turc
tt	Tatar
ug	Ouïghour
uk	Ukrainien
ur	Ourdou
uz	Ouzbek
uzs	Uzs
vi	Vietnamien
xh	Xhosa
yi	Yiddish
yo	Yoruba
zh-CN	Chinois (simplifié)
zh-Hans	Chinois (simplifié, Chine)
zh-Hant	Chinois (traditionnel, Taïwan)
zh-HK	Chinois (Hong Kong)
zh-TW	Chinois (traditionnel)
zh-yue	Cantonais
zu	Zoulou
